2026-03-25 11:45:16 INFO  TC_004_AddUserTest:115 - Alert received: User Added Successfully. You can not see added user.
2026-03-25 11:45:16 INFO  TC_004_AddUserTest:144 - Add User Test Case Completed: AU_01
2026-03-25 11:45:16 INFO  TC_004_AddUserTest:83 - Starting Add User Test Case: AU_02
2026-03-25 11:45:16 INFO  TC_001RegisterTest:69 - Email Error : Please enter Email.
2026-03-25 11:45:16 INFO  TC_001RegisterTest:26 - ***** Starting Register Test **
2026-03-25 11:45:17 INFO  TC_001RegisterTest:34 - ***** clicked register link **
2026-03-25 11:45:17 INFO  TC_004_AddUserTest:94 - Verifying Add User page title and heading
2026-03-25 11:45:17 INFO  TC_004_AddUserTest:99 - Entering user details
2026-03-25 11:45:17 INFO  TC_001RegisterTest:76 - Password Error : Please enter Password.
2026-03-25 11:45:17 INFO  TC_004_AddUserTest:109 - Submitting form for TC: AU_03
2026-03-25 11:45:17 WARN  TC_004_AddUserTest:126 - Expecting email validation error
2026-03-25 11:45:17 INFO  TC_001RegisterTest:86 - ***** All register Tests Completed *****
2026-03-25 11:45:17 INFO  TC_001RegisterTest:87 -  page navigate  register To login.
2026-03-25 11:45:17 INFO  TC_004_AddUserTest:144 - Add User Test Case Completed: AU_03
2026-03-25 11:45:17 INFO  TC_004_AddUserTest:83 - Starting Add User Test Case: AU_04
2026-03-25 11:45:18 INFO  TC_004_AddUserTest:94 - Verifying Add User page title and heading
2026-03-25 11:45:18 INFO  TC_004_AddUserTest:99 - Entering user details
2026-03-25 11:45:18 INFO  TC_004_AddUserTest:109 - Submitting form for TC: AU_02
2026-03-25 11:45:18 WARN  TC_004_AddUserTest:120 - Expecting name validation error
2026-03-25 11:45:18 INFO  TC_004_AddUserTest:144 - Add User Test Case Completed: AU_02
2026-03-25 11:45:18 INFO  TC_004_AddUserTest:83 - Starting Add User Test Case: AU_03
2026-03-25 11:45:18 INFO  TC_004_AddUserTest:94 - Verifying Add User page title and heading
2026-03-25 11:45:18 INFO  TC_004_AddUserTest:99 - Entering user details
2026-03-25 11:45:19 INFO  TC_004_AddUserTest:109 - Submitting form for TC: AU_04
2026-03-25 11:45:19 WARN  TC_004_AddUserTest:132 - Expecting password validation error
2026-03-25 11:45:19 INFO  TC_004_AddUserTest:144 - Add User Test Case Completed: AU_04
2026-03-25 11:45:19 INFO  TC_004_AddUserTest:150 - Starting verifyCancelButton test
2026-03-25 11:45:19 INFO  TC_004_AddUserTest:109 - Submitting form for TC: AU_03
2026-03-25 11:45:19 WARN  TC_004_AddUserTest:126 - Expecting email validation error
2026-03-25 11:45:19 INFO  TC_004_AddUserTest:144 - Add User Test Case Completed: AU_03
2026-03-25 11:45:19 INFO  TC_004_AddUserTest:83 - Starting Add User Test Case: AU_04
2026-03-25 11:45:19 INFO  TC_004_AddUserTest:161 - Clicked Cancel button
2026-03-25 11:45:19 INFO  TC_004_AddUserTest:168 - verifyCancelButton test completed
2026-03-25 11:45:20 INFO  TC_004_AddUserTest:94 - Verifying Add User page title and heading
2026-03-25 11:45:20 INFO  TC_004_AddUserTest:99 - Entering user details
2026-03-25 11:45:21 INFO  TC_004_AddUserTest:109 - Submitting form for TC: AU_04
2026-03-25 11:45:21 WARN  TC_004_AddUserTest:132 - Expecting password validation error
2026-03-25 11:45:21 INFO  TC_004_AddUserTest:144 - Add User Test Case Completed: AU_04
2026-03-25 11:45:21 INFO  TC_004_AddUserTest:150 - Starting verifyCancelButton test
2026-03-25 11:45:21 INFO  TC_004_AddUserTest:161 - Clicked Cancel button
2026-03-25 11:45:21 INFO  TC_004_AddUserTest:168 - verifyCancelButton test completed
2026-03-25 11:45:26 INFO  TC_006_UsefulLinksTest:41 - *****usefullinks Validation Completed *****
